TEK,PCAL.5(J),PCAL.5(J),PCAL.1(A),PCAL.2(K),PCAL.2(K),PCAL.1(C),PCAL.1(B),PCAL.1(G),PCAL.1(G),PCAL.2(N),PCAL.5(I),PCAL.5(G),PCAL.2(N),PCAL.5(H),PCAL.1(C),PCAL.1(B),PCAL.4(E),PCAL.4(E),PCAL.1(G),PCAL.5(I),PCAL.4(F),PCAL.4(F),PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(D),PCAL.1(A),PCAL.4(C),PCAL.4(E),PCAL.1(G),PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(A),PCAL.4(C),PCAL.1(E),PCAL.2(F),PCAL.1(B),PCAL.2(G),PCAL.1(A),PCAL.1(G),PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(H),PCAL.3(F),PCAL.3(F),PCAL.3(F),PCAL.4(I),PCAL.2(G),PCAL.2(N),PCAL.2(N),PCAL.4(B),PCAL.2(P),PCAL.5(M),PCAL.4(E),PCAL.4(E),PCAL.4(G),PCAL.4(H),PCAL.5(N),PCAL.5(N),PCAL.5(N),PCAL.5(D),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(B),PCAL.5(B),PCAL.1(G)
12509,D,B,+B,A,+B,+C,+D,A,0,2,,,,,,,,,,,,,,,,,,,,,+A,+B,+C,+B,A,D,+B,+A,0,0,0,+C,+D,+B,+A,C,A,+B,+D,+B,+A,C,D,+C,D,+B,+A,A,+C,D,+C,A,+C,D,A,+C,+D,+A,B,0,0
12510,+C,+A,A,+C,+B,A,+D,A,0,10,B,+A,+B,D,+D,+A,A,+B,5,7.5,+D,C,+B,+C,+B,+A,C,+B,+C,7.5,,,,,,,,,,,,+C,+D,+B,+A,+D,+C,+B,C,C,+A,C,+A,+C,D,+B,+A,+B,+C,D,B,C,A,+C,+B,+C,+D,D,+C,4,0
12511,+C,+A,A,+C,A,+C,B,A,8,9,+D,+A,+B,+A,+D,+A,+B,+B,2.5,2.5,+D,C,+B,+C,+B,+A,B,+B,+C,5,+A,+B,+C,+B,+B,+B,+B,+A,0,4,3,+C,+D,+B,+A,B,+C,+B,+D,+B,+A,+D,+A,+C,C,A,B,C,+C,+C,+C,B,B,A,+B,+C,C,C,B,0,0
12512,+C,+A,D,A,A,+C,+D,A,0,10,A,+A,+B,C,+D,+A,+B,+B,10,10,+D,C,C,+C,A,+A,+D,+B,A,2.5,+A,C,+C,+B,C,C,+B,B,1,3,4,+C,+D,+B,B,A,A,+B,+D,C,C,+D,+A,+C,C,C,B,+B,+C,B,A,B,A,+C,+B,+C,+D,+A,B,0,0
12513,,,,,,,,,,,B,C,A,D,+D,D,+B,D,0,2.5,A,+B,C,+C,+B,+A,+D,+B,+C,7.5,+A,+B,+C,+B,+B,+B,+B,+A,1,0,0,+C,+D,+B,+A,C,A,+B,+D,A,C,+D,+A,+C,+B,D,B,C,+C,+C,+C,B,+C,+C,A,+C,+D,B,+C,0,0
12514,+C,B,C,A,+B,+C,B,A,0,0,B,C,A,D,C,B,A,C,0,0,C,+B,+B,+C,A,+A,+D,+B,+C,0,+A,+B,+C,+B,D,D,+B,+A,0,0,4,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,+D,+A,+C,A,+B,+A,+B,+C,A,D,B,+C,+C,A,+C,+D,+A,+C,0,0
12515,,,,,,,,,,,B,C,,B,,D,,+B,0,0,+D,+B,C,+C,+B,C,A,+B,B,5,+A,C,+C,+B,A,D,+B,+A,0,4,2,+C,+D,+B,+A,+D,A,C,+D,+B,C,+D,+A,+C,C,+B,B,+B,+C,A,A,B,+C,+C,A,+C,+D,+A,+C,0,0
12516,,,,,,,,,,,A,C,D,B,A,+A,C,D,0,2.5,+D,C,+B,+C,A,+A,+D,+B,+C,5,D,+B,+C,+B,+B,+B,+B,+A,0,0,0,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,+A,+B,D,+C,D,A,A,+C,+B,+C,+D,D,B,0,0
12517,+C,D,D,+C,+B,D,+D,A,10,9,B,C,A,+A,C,C,C,A,0,0,C,+B,+B,+C,A,+A,+D,+B,+C,0,C,+B,B,C,C,A,+B,D,0,0,0,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,C,+B,B,+C,+C,C,+C,+C,+B,+C,+D,B,+C,0,0
12518,,,,,,,,,,,B,+A,+B,D,+D,+A,A,+B,5,7.5,+D,+B,D,+C,+B,+A,+D,+B,+C,7.5,+A,+B,+C,+B,D,D,+B,+A,1,0,3,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,+B,,+B,+C,A,B,+D,+C,+C,A,+C,+D,+A,+C,4,0
12519,,,,,,,,,,,+D,+A,+B,D,+D,+A,+B,+B,10,7.5,+D,+B,+B,+C,+B,+A,+D,+B,+C,10,+A,+B,+C,+B,D,D,+B,+A,0,0,3,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,D,+A,+B,+C,A,,,+C,+C,A,+C,+D,+A,+C,4,0
12520,,,,,,,,,,,B,+A,+B,D,+D,+A,A,+B,5,7.5,+D,C,+B,+C,+B,+A,,+B,D,2.5,+A,+B,+C,+B,D,D,+B,+A,0,0,1,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,A,+B,+A,+B,+C,A,A,C,+C,+C,A,+C,+D,+A,+C,2,1
12521,+C,D,A,+C,A,D,C,A,2,7,B,+A,+B,D,+D,+A,A,+B,5,5,+D,+B,+B,+C,A,+A,+D,+B,+C,10,+A,+B,+C,+B,D,D,+B,+A,0,4,2,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,C,+A,+C,A,D,+A,+B,+C,+C,D,B,A,+C,+B,+C,+D,D,+C,4,0
12522,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,7.5,5,+D,C,+B,+C,A,+A,+D,+B,+C,5,+A,+B,+C,+B,+B,+B,+B,+A,3,4,3,+C,+D,+B,+A,+D,A,+B,+D,+B,C,+D,+A,+C,C,A,+A,+B,A,D,+C,A,+C,+C,A,+C,+D,+A,+C,1,3
12523,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,10,10,+D,C,+B,+C,+B,+A,A,+B,+C,7.5,+A,+B,+C,+B,A,D,+B,+A,1,4,4,+C,+D,+B,+A,+D,+C,+B,+D,+B,+A,+D,+A,+C,+B,+B,+A,+B,+C,A,+C,C,+C,+C,A,+C,+D,+A,+C,1,0
12524,,,,,,,,,,,C,+A,+B,C,+D,+A,+B,+B,10,5,C,+B,+B,+C,A,+A,+D,+B,+C,7.5,+A,+B,+C,+B,+B,+B,+B,+A,1,4,3,+C,+D,+B,+A,+D,+C,+B,+D,A,C,+D,+A,+C,C,A,+A,+B,A,D,+C,A,+C,+C,A,+C,+D,+A,+C,0,2
12525,+C,+A,A,+C,D,A,C,A,0,2,+D,+A,+B,C,+D,+A,+B,+B,10,10,+D,+B,+B,+C,A,+A,+D,+B,+C,7.5,D,+B,+C,+B,+B,+B,+B,+A,1,4,3,+C,+D,+B,+A,C,+C,+B,+D,+B,C,+D,+A,+C,A,A,+A,+B,+C,,+C,C,+C,+C,+B,+C,+D,+A,B,4,0
12526,+C,D,+B,A,D,+C,+D,A,1,1,,,,,,,,,,,A,D,+B,+C,C,C,B,D,A,0,+A,A,B,+B,+B,D,+B,B,0,0,0,+C,B,D,+A,C,A,+B,C,C,B,B,C,A,+B,A,D,D,A,+C,+C,B,+C,A,D,+C,B,B,B,0,0
12527,,,,,,,,,,,,,,,,,,,,,+D,D,A,+C,A,D,A,D,A,0,+A,+B,B,A,C,C,+B,+A,0,0,0,+C,+D,+B,+A,+D,+C,+B,+D,C,+A,C,+A,+C,A,D,+A,+B,+C,+C,D,B,A,+C,+B,+C,+D,D,+C,0,0
22611,,,,,,,,,,,+D,+A,+B,+A,C,+A,+B,+B,7.5,7.5,+D,C,+B,+C,+B,+A,+D,+B,D,7.5,+A,+B,+C,+B,D,D,+B,+A,0,1,0,+C,+D,+B,+A,C,+C,+B,+D,+B,D,B,+A,+C,C,+B,C,C,A,+C,+C,+D,A,B,A,+C,+D,+A,+C,4,0
22623,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,0,2.5,+D,+B,A,+C,C,D,+D,+B,+C,2.5,+A,+B,+C,+B,C,D,+B,+A,2,0,0,+C,+D,+B,+A,C,+C,+B,+D,A,C,+D,+A,B,A,D,+A,+B,+C,+C,+C,C,+C,+C,+B,+C,+D,+A,B,0,0
32101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+A,+B,+C,+B,D,+B,+B,+A,0,0,0,+C,+D,+B,+A,+D,A,+B,+D,A,D,B,D,A,C,+B,+A,+B,+C,B,+C,C,+C,B,C,+C,+D,D,B,0,0
